RecID;Duration;Filename;Pathname
14;01:20.532;presence  humaine cage escalier apart .L.wav;/Volumes/Sonotheque Raph 1/Autres films/ prise de son homm libre/deplacement int /presence off
21;01:27.125;ecoulement eau discret+ fond robinet .L.wav;/Volumes/Sonotheque Raph 1/Autres films/ prise de son homm libre/eau 
31;00:39.957;fond air cave .L.wav;/Volumes/Sonotheque Raph 1/Autres films/ prise de son homm libre/fond air
35;00:25.952;voix hom comissariat off .L.wav;/Volumes/Sonotheque Raph 1/Autres films/ prise de son homm libre/humain int 
66;00:28.928;activitee bar rangement .L.wav;/Volumes/Sonotheque Raph 1/Autres films/ prise de son homm libre/vaisselle
71;02:21.994;Club Muscu R Brouhaha Discution Rires Hommes PM.L.wav;/Volumes/Sonotheque Raph 1/Autres films/ Salle de Muscu Raphael
172;01:14.319;Fond Air Labo ventil+Rev.L.wav;/Volumes/Sonotheque Raph 1/Autres films/52_SORTIE_OMF1_20juin/Audio Files
181;04:03.280;Pluie int rafales contre vitre-EFRT_01.L.wav;/Volumes/Sonotheque Raph 1/Autres films/52_SORTIE_OMF1_20juin/Audio Files
9;03:45.994;Hopital Bureau Infirmier Bureautique Preparation de dossier activitee off 5-1.wav;/Volumes/Sonotheque Raph 1/Hippocrate/Hopital St ANtoine 5-1/Bureau Infirmier
20;05:52.721;Hopital Chambre porte ouverte Medecin visite Malade 5-1.wav;/Volumes/Sonotheque Raph 1/Hippocrate/Hopital St ANtoine 5-1/Chambre
35;02:59.475;Hopital Conversation Off derriÃ¨re porte coupe feu 2 5-1.wav;/Volumes/Sonotheque Raph 1/Hippocrate/Hopital St ANtoine 5-1/Couloir
58;02:56.675;FI buzz neon couloir de service sous sol 2 5-1.wav;/Volumes/Sonotheque Raph 1/Hippocrate/Hopital St ANtoine 5-1/Fond Int Neutre
69;03:03.993;Hopital Fond Int Chambre Vide 2 5-1.wav;/Volumes/Sonotheque Raph 1/Hippocrate/Hopital St ANtoine 5-1/Fond Int Neutre
109;01:54.999;COULOIR calme fd vx WT47.L.wav;/Volumes/Sonotheque Raph 1/Hippocrate/Sono pour hippo/couloir
255;01:41.515;Couloir discussions bureau internes off 1 hp.L.wav;/Volumes/Sonotheque Raph 1/Hippocrate/SSeuls Hippo/Couloir voix bruyant
;01:34.519;APF09-56 Restaurant - petite foule - voix - bruit de vaisselle.wav;
;01:51.426;APF09-59 Restaurant - foule bruyante - enfants au loin.wav;
;01:59.013;TCF04-05 Foule - dans une eglise - ambiance generale - les gens s'agenouillent - murmures.wav;
;03:03.039;S7006-04 Parking souterrain - ambiance generale.wav;
38965;05:54.517;SILENCE INT APPART (paris.L.wav;
38073;02:54.506;Circul douce int appart g.L.wav;
41422;02:11.072;Fond air int hall musee+v.L.wav;
40848;02:06.688;Presence foule int reverb.L;
53477;01:13.879;LE_BUREAU SIL INT OPEN SPACE ALLUMAGE NÃ‰ONS PL.wav;
54419;01:59.381;SIL CHAMBRE HOTEL.L.wav;/Volumes/Sonotheque Raph 1/Autres films/MANON20 ans_EP1_2_3_161107 MS/Audio Files
